الرقم الخاص,الرقم العام,توصيف المجال العلمى,كود المقرر,رؤوس الموضوعات,المقرر  الذى يدعمه الوعاء,عنوان الوعاء,اسم المؤلف,مؤلفين مشاركين,الناشر,مكان النشر,تاريخ النشر,رقم الطبعة,الترقيم الدولى ,اللغة,القسم,نوع
721.044/ع.ت.م,1,إنشاء معمارى,ARCH 205,(1) Building Construction I,مواد البناء/البناء/,مواد البناء وطرق الإنشاء في المباني,توفيق احمد عبد الجواد ,محمد توفيق عبد الجواد,مكتبة الأنجلو المصرية,القاهرة,1984,ط.3,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
721.0448/إ.م.م,2,إنشاء معمارى,ARCH 422,(3) Working Drawings III,مقايسات ومواصفات,المقايسات لصناعه نجارة العمارة للصف الثالث بالمدارس الثانويه الفنيه الصناعيه,سيد جابر عبد العال,لا يوجد,وزارة التربية والتعليم,القاهرة,2002,ط.2,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
721/M.J.M,3,إنشاء معمارى,ARCH 205,(1) Building Construction I,معايير المواد/هياكل المواد/خصائص المواد/اختبارات المواد/هندسة المواد/علوم المواد/جودة المواد/متانة المواد/أداء المواد,Materials Structures Standards,Josep Montaner ,Jordi Oliveras,Editorial Gustavo Gili,United States of America,1986,ط.1986,0-312-004516,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
721/M.M.B,4,إنشاء معمارى,ARCH 205,(1) Building Construction I,تشييد المباني (الهندسة المعمارية)/عناصر البناء (البيئة المبنية)/بناء/تشييد المباني (الهندسة المعمارية)/عناصر المباني (البيئة المبنية)/البناء في هوخباو (الهندسة المعمارية)/إنشاءات البناء والتشييد (النحت),Baukonstruktionslehre. ein Nachschlagewerk für den Bauschaffenden über Konstruktionssysteme.Bauteile und Bauarten,Martin Mittag,لا يوجد,C. Bertelsmann/ Gütersloh,German,1952,ط.1,9.78E+12,لغة ألمانية,الهندسة المعمارية والتصميم,ورقي
721/R.R.S,5,إنشاء معمارى,ARCH 205,(1) Building Construction I,مواد البناء/البناء/,Structure Systems,Henrich Engel,preface by Ralph. article by Hannskarl Bandel,London Iliffe Books LTD,London,1968,ط.1,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
721/S.K.D,6,إنشاء معمارى,ARCH 205,(1) Building Construction I,الرطوبة في المباني/الرطوبة,Damp diffusion and buildings. Prevention of damp diffusion damage in buildings design,Karl Seiffert,لا يوجد,Elsevier Pub. Co.,Amsterdam,1970 ,ط.1,9780444200730/0444200738,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
721/W.D.C,7,إنشاء معمارى,ARCH 205,(1) Building Construction I,مواد البناء/الإنشاءات (النحت)/البناء,Construction Materials and Processes,Don A. Watson,لا يوجد,McGraw-Hill,New York,1978,ط.2,9780070684713/ 0070684715,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
721/ح.ر.ع,8,إنشاء معمارى,ARCH 317,(2) Building Construction II,المباني/هندسة الإنشاءات/الهندسة المعمارية,عناصر التصميم والإنشاء المعمارى,ربيع محمد نذير حرستاني,لا يوجد,دار الكتب العلمية للنشر والتوزيع,القاهرة,2004,ط.2004,9789772873135//9772873133,لغة عربية,الهندسة المعمارية والتصميم,ورقي
721/ح.ر.ع,9,إنشاء معمارى,ARCH 317,(2) Building Construction II,المباني/هندسة الإنشاءات/الهندسة المعمارية,عناصر التصميم والإنشاء المعمارى,ربيع محمد نذير حرستاني,لا يوجد,دار الكتب العلمية للنشر والتوزيع,القاهرة,2004,ط.2004,9789772873135//9772873133,لغة عربية,الهندسة المعمارية والتصميم,ورقي
721/أ.ك.إ,10,إنشاء معمارى,ARCH 205,(1) Building Construction I,إنشاء مبانى,إنشاء مبانى /الجزء الأول,كمال الدين صلاح الدين أحمد,لا يوجد,معهد العبور العالى للهندسة والتكنولوجيا,القليوبية,لا يوجد,لا يوجد,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
721/ق.س.ع,11,إنشاء معمارى,BASE 307,Contracts. Bids & Liabilities,عقود ومواصفات/المباني عقود و مواصفات/هندسة الإنشاءات,عقود ومواصفات الاعمال الانشائية,السيد عبدالفتاح القصبى,لا يوجد,دار الكتب العلمية,القاهرة,1995,ط.2,9.79E+12,لغة عربية,الهندسة المعمارية والتصميم,ورقي
721/ت.م.ك,12,إنشاء معمارى,ARCH 317,(2) Building Construction II,مواد البناء/الإنشاءات المعمارية/البناء,كتيب لوحات مادة الانشاء المعمارى ومواد البناء,مجدى تمام,لا يوجد,مودرن اكاديمى,القاهرة,لا يوجد,لا يوجد,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
721/ت.م.م,13,إنشاء معمارى,ARCH 213,History of Architecture I,المباني/هندسة الإنشاءات/الهندسة المعمارية,محاضرات مادة الانشاء المعمارى ومواد البناء,مجدى تمام,لا يوجد,مودرن اكاديمى,القاهرة,لا يوجد,لا يوجد,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
700.108/L.M.A,14,أصول وفنون العمارة (عمارة وفنون),ARCH 315,Modern & Contemporary Foundations of Art & Architects,الفن والطبيعة/صناعة الورق/ورق النباتات/ورق النباتات - صناعة الورق,The Art of PaperMaking with Plants,Marie - Jeanne Lorente,photographs by Vincent Decorde,Thames &Hudson,Italy,2004,ط.1,978-050-028-474-2/050-028-474-1,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.A,15,أصول وفنون العمارة (عمارة وفنون),ARCH 215,History of Architecture II,التاريخ العام/التراث الحضارى/الحضارة/الفن - تاريخ/العمارة - تاريخ,The Story of Ancient World 500 B.C. - 500 A.D.,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1967,ط.1967,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.A,16,أصول وفنون العمارة (عمارة وفنون),ARCH 215,History of Architecture II,التاريخ العام/التراث الحضارى/الحضارة/الفن - تاريخ/العمارة - تاريخ,The Story of Ancient World Prehistory - 500 B.C.,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1967,ط.1967,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.A,17,أصول وفنون العمارة (عمارة وفنون),ARCH 215,History of Architecture II,التاريخ العام/الثقافة/الحضارة/التاريخ الحضرى/النحت - تاريخ/العمارة/العمارة - فن/العمارة أبنية,The Story of Architecture. [Gothic-modern],Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1967,ط.1967,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.A,18,أصول وفنون العمارة (عمارة وفنون),ARCH 215,History of Architecture II,التاريخ العام/الثقافة/الحضارة/التاريخ الحضرى/الفن - تاريخ/العمارة - تاريخ,The Story of Architecture;3000 B. C.- Gothic Period,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1967,ط.1967,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.F,19,أصول وفنون العمارة (عمارة وفنون),ARCH 315,Modern & Contemporary Foundations of Art & Architects,التاريخ العام/الثقافة/النحت/الحضارة/التاريخ الحضرى/الفن - تاريخ/العمارة - تاريخ/منحوتات,The Story of Fine Art 15000 B.c. - 1800 A.D.,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1967,ط.1967,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.F,20,أصول وفنون العمارة (عمارة وفنون),ARCH 315,Modern & Contemporary Foundations of Art & Architects,التاريخ العام/الثقافة/النحت/الحضارة/التاريخ الحضرى/الفن - تاريخ/العمارة - تاريخ/منحوتات,The Story of Fine Art The Last Two Hundred Years,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1967,ط.1967,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.M,21,أصول وفنون العمارة (عمارة وفنون),ARCH 302,Architectural Design II,التاريخ العام/التراث الحضارى/الطب - تاريخ/التاريخ الطبي/الطب على مدار العصور/الفن - تاريخ/العمارة - تاريخ,The Story of Medieval World,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1966,ط.1966,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.M,22,أصول وفنون العمارة (عمارة وفنون),ARCH 215,History of Architecture II,التاريخ العام/العالم الحديث - تاريخ/العالم الحديث- حضارة/التراث الحضارى/الطب على مدار العصور/الفن - تاريخ/العمارة - تاريخ,The Story of Modern World,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1966,ط.1966,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
700.2/ H.V.S,23,أصول وفنون العمارة (عمارة وفنون),ARCH 315,Modern & Contemporary Foundations of Art & Architects,التاريخ العام/الثقافة/النحت/الحضارة/التاريخ الحضرى/الفن - تاريخ/العمارة - تاريخ/النحت/منحوتات,The Story of Sculpture,Virgil Mores Hillyer, Edward Greene Huey,‎ Meredith Press,New York,1967,ط.1967,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
704.03/B.S.R,24,أصول وفنون العمارة (عمارة وفنون),ARCH 210,Fundamentals of Design & Color & Painting,الفن الافريقى/الفنون الملكية الإفريقية/النحت/إفريقيا - تاريخ/فن إفريقى - تاريخ/الهندسة المعمارية الإفريقيا/إفريقيا - هندسة معمارية - طرق استخدام/الحكام الأفارقة/الملوك الأفارقة/الفنون - سلالات عرقية/هندسة القصور الملكية/تاريخ الأسرة الحاكمة/الرسوم التوضيحية/النقوش/حكام - افريقيا - صور/حكام - افريقيا - رموز,Royal Arts of Africa : Majesty of Form,Suzanne Preston Blir,لا يوجد,Laurence King Publishing,London,1998,ط.1998,9.78E+12,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
709.032/B.E.M,25,أصول وفنون العمارة (عمارة وفنون),ARCH 210,Fundamentals of Design & Color & Painting,زخارف وعناصر الباروك المكسيكى/الفن في القرن السابع عشر. 1600 - 1699م./فن الباروك/الفن المكسيكي/الفن الباروكي - المكسيك/الهندسة المعمارية - المكسيك/العمارة الباروكية - المكسيك,México barroco,Elisa Vargas Lugo de Bosch,لا يوجد,Hachette Latinoamérica,Mexico,1993,ط.1993,9789706113450// 9706113452,لغة اسبانية,الهندسة المعمارية والتصميم,ورقي
709.1/D.A.A,26,أصول وفنون العمارة (عمارة وفنون),ARCH 315,Modern & Contemporary Foundations of Art & Architects,زخارف عربية /الفن-القاهرة,Arabic Art : After Monuments in cairo,prisse d’Avennes,foreword Clara Schmidt,photoengraving,paris/italy,يوليو 2001,ط 21,9.78E+12,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
709.1/إ ص ف,27,أصول وفنون العمارة (عمارة وفنون),ARCH 213,History of Architecture I,زخارف إسلامية/الزخرفة - فن/الفنون التشكيلية - زخرفة/الزخرفة - تاريخ /المخطوطات/النسيج والمنسوجات/الزخرفة - تاريخ قديم/الزخرفة والزخارف,الفن التشكيلى العربى الإسلامى - فن الزخرفة,إسلام صابر أرديوى,محمود فريد فرج/محمد نصر الله محمد/مروة سيد محمد محمد/مروة محمود السمان/هالة محمد جمعة,"قسم الهندسة المعمارية ، الفرقة الثانية",جامعة 6 أكتوبر كلية الهندسة,لا يوجد,لا يوجد,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
709.1/ب.س .ت,28,أصول وفنون العمارة (عمارة وفنون),ARCH 315,Modern & Contemporary Foundations of Art & Architects,الزخرفة - تاريخ/الزخرفة/الزخرفة - فن/النسيج والمنسوجات/زخرفة - صناعات/الفنون,تاريخ الزخرفة للصف الثالث للصناعات الزخرفية والنسجية,سامى رزق بشاى,فاروق وجدى إبراهيم/محمد عبد الفتاح عبد الحميد/مراجعة : قدرى محمد أحمد,الشروق الحديثة للطباعة والتغليف,القاهرة,2007 /2008,ط.2008,9770659983,لغة عربية,الهندسة المعمارية والتصميم,ورقي
709.1/و .ى .ع,29,أصول وفنون العمارة (عمارة وفنون),ARCH 407,Urban Design & Landscape,زخارف وعناصر/مداخل وبوابات/أبواب/شبابيك/مشربيات/خرط خشبى,موسوعة عناصر العمارة الإسلامية ( الكتاب الأول ),يحيي وزيري,اخراج فنى : محمد فتحى,مكتبة مدبولى,القاهرة,2005,ط.2,977-208-255-1,لغة عربية,الهندسة المعمارية والتصميم,ورقي
709.1/و .ى .ع,30,أصول وفنون العمارة (عمارة وفنون),ARCH 407,Urban Design & Landscape,زخارف وعناصر/الأرضيات /الأسقف/الأثاث الداخلى/وحدات الإضاءة/نوافير,موسوعة عناصر العمارة الإسلامية ( الكتاب الثالث ),يحيي وزيري,اخراج فنى : محمد فتحى,مكتبة مدبولى,القاهرة,2005,ط.2,977-208-255-1,لغة عربية,الهندسة المعمارية والتصميم,ورقي
709.1/و .ى .ع,31,أصول وفنون العمارة (عمارة وفنون),ARCH 202,Architecture Drawing,زخارف وعناصر/محاريب ومنابر/دكة المبلغ وكرسى المصحف/قباب ومأذن/أعمدة وعقود/عرائس ومقرنصات,موسوعة عناصر العمارة الإسلامية ( الكتاب الثانى ),يحيي وزيري,اخراج فنى : محمد فتحى,مكتبة مدبولى,القاهرة,2005,ط.2,977-208-255-1,لغة عربية,الهندسة المعمارية والتصميم,ورقي
709.1/و .ى .ع,32,أصول وفنون العمارة (عمارة وفنون),ARCH 202,Architecture Drawing,زخارف وعناصر إسلامية/كوابيل ومظلات/حشوات وبانوهات/زخارف نباتية وهندسية/خط عربى,موسوعة عناصر العمارة الإسلامية ( الكتاب الرابع ),يحيي وزيري,اخراج فنى : محمد فتحى,مكتبة مدبولى,القاهرة,2005,ط.2,977-208-255-1,لغة عربية,الهندسة المعمارية والتصميم,ورقي
709.1/و. ى .ع,33,أصول وفنون العمارة (عمارة وفنون),ARCH 202,Architecture Drawing,زخارف وعناصر إسلامية/كوابيل ومظلات/حشوات وبانوهات/زخارف نباتية وهندسية/خط عربى,موسوعة عناصر العمارة الإسلامية ( الكتاب الرابع ),يحيي وزيري,اخراج فنى : محمد فتحى,مكتبة مدبولى,القاهرة,2005,ط.2,977-208-255-1,لغة عربية,الهندسة المعمارية والتصميم,ورقي
709/L.D.M,34,أصول وفنون العمارة (عمارة وفنون),ARCH 315,Modern & Contemporary Foundations of Art & Architects,الفن الآسيوي/الفن البوذي/البوذية والفن/الفن البوذي والرمزية/كتالوجات المعرض/ماندالا,ManDala : The Architecture of Enlightenment,Denise Patry Leidy,Robert A. F. Thurman, Thames & Hudson,Asia Society,1997,ط.1,978-0500280188,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
709/N.B.A,35,أصول وفنون العمارة (عمارة وفنون),ARCH 211,Visual Training,التواصل/الفنون البصرية,Art related topics. related studies for art and design students,Bob Nunn,Chris Locke,Longman/ Harlow,London,1984,ط.1984,9780582413108/ 0582413109,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
734.24/H.W.D,36,أصول وفنون العمارة (عمارة وفنون),ARCH 403,Architectural Design IV,زخارف الفن الرومانسكى/النحت الرومانسكى - أطالس/التصميم - نحت/فنون الرومانيسك,Dasbild atlanten zur kunst . band V-VI romanische bildnerei,Herausgeber Wilhelm Hausenstein,لا يوجد,Verlag R/ Piper & Co.,Germany,1922,ط.1922,لا يوجد,لغة ألمانية,الهندسة المعمارية والتصميم,ورقي
770/D.G.W,37,أصول وفنون العمارة (عمارة وفنون),ARCH 402,Architectural Design III,فن التصوير الفوتوغرافى/فن التصوير/فيينا - التصوير الفوتوغرافى/التصوير الفوتوغرافى القديم,Wien auf alten Photographien,Günter Düriegl,لا يوجد,Jugend und Volk,Germany,1981,ط.1981,9783244160013// 3244160018,لغة المانية,الهندسة المعمارية والتصميم,ورقي
700.2/G.G.D,38,أصول وفنون العمارة (عمارة وفنون),ARCH 213,History of Architecture I,اكتشافات في الجغرافيا/اكتشافات/تاريخ/النيل/وادي النيل- الاكتشاف والاستكشاف/وادي نهر النيل,The Discovery of the Nile,Gianni Guadalupi,لا يوجد,Swan Hill Press,England,1998,ط.1,1840370459,لغة انجليزية,الهندسة المعمارية والتصميم,ورقي
709.1/B.B.I,39,أصول وفنون العمارة (عمارة وفنون),ARCH 315,Modern & Contemporary Foundations of Art & Architects,الفنون الجميلة الزخرفية/زخارف اسلامية/الزخرفة - اسلام/الزخرفة - فن/الفن - اسلام,Islamic Art,Barbara Brend,لا يوجد,Barbara Brend,British,2005,ط.5,978-071-411-443-9,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
709.1/ي.ع. ف,40,أصول وفنون العمارة (عمارة وفنون),ARCH 315,Modern & Contemporary Foundations of Art & Architects,الفنون الجميلة الزخرفية/زخارف اسلامية/الزخرفة - اسلام/الزخرفة - فن/الفن - اسلام,الفنون الزخرفية الإسلامية في مصر منذ الفتح الإسلامي حتى نهاية العصر الفاطمى . دراسة اثارية حضارية للتأثيرات الفنية الوافدة,عبد الناصر ياسين,لا يوجد,دار الوفاء لدنيا الطباعة والنشر,الإسكندرية,2002,ط 1,9773272257,لغة عربية,الهندسة المعمارية والتصميم,ورقي
709/P.J.G,41,أصول وفنون العمارة (عمارة وفنون),ARCH 315,Modern & Contemporary Foundations of Art & Architects,الفن - تاريخ/الفن اليوناني/الفن الاغريقى/علم الاثار/,Greek Art& Archaeolgy,John Griffiths Pedley ,لا يوجد,Laurence King Publishing,London,2002,ط 3,9781856692861/1-85669-286-8,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
709/P.P.A,42,أصول وفنون العمارة (عمارة وفنون),ARCH 219,Theory of Architecture I,عمارة حديثة,Architecture Art : Paralles. connections,Barry A. Berkus,لا يوجد,Images Publishing,United States of America,2000,ط.2000,0-823-002-93-4,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
720.9/A.J.C,43,تاريح عمارة,ARCH 215,History of Architecture II,تاريخ عمارة/تصميم داخلى/بلجيكا/القلاع/القلاع في بلجيكا/القلاع البلجيكية/الفنون الجميلة,Castles of Belgium,Joseph de Borchgrave d'Altena,Jacques Picard,Desoer,Belgium,[1967],ط.1,لا يوجد,لغة انجليزية,الهندسة المعمارية والتصميم,ورقي
711/ع .أ.ت,44,تاريخ تخطيط المدن,ARCH 407/ARCH 318,Urban Design & Landscape/Concepts of Urban Planning,تخطيط - مدن/تخطيط المدن - تاريخ/العمارة الإسلامية/العمارة- اسلام/العمارة والعمران/البحرين - عمارة/عمارة - تشكيل/العمارة - تاريخ/,تاريخ تخطيط المدن, أحمد خالد علام,محمد أحمد عبدالله- مصطفى الدينارى,مكتبة الأنجلو المصرية,القاهرة,1993,ط.1,977-05-1244-3,لغة عربية,الهندسة المعمارية والتصميم,ورقي
711/ع .أ.ت,45,تاريخ تخطيط المدن,ARCH 407/ARCH 318,Urban Design & Landscape/Concepts of Urban Planning,تخطيط - مدن/تخطيط المدن - تاريخ/العمارة الإسلامية/العمارة- اسلام/العمارة والعمران/البحرين - عمارة/عمارة - تشكيل/العمارة - تاريخ/,تاريخ تخطيط المدن, أحمد خالد علام,محمد أحمد عبدالله- مصطفى الدينارى,مكتبة الأنجلو المصرية,القاهرة,1993,ط.1,977-05-1244-3,لغة عربية,الهندسة المعمارية والتصميم,ورقي
711/ع س.م,46,تاريخ تخطيط المدن,ARCH 420,Urban & Regional Planning,المناطق المتخلفة/المناطق الفقيرة/التنمية الحضرية/التنمية المستدامة/التنمية الشاملة/التنمية الاجتماعية والاقتصادية/التخطيط العمراني/البنية التحتية/الخدمات الأساسية/تحسين جودة الحياة,المناطق المتخلفة عمرانآ وتطويرها,سعيد علي خطاب,لا يوجد,دار الكتب العلمية للنشر والتوزيع,القاهرة,1993,ط.1,977-5035-30-9,لغة عربية,الهندسة المعمارية والتصميم,ورقي
711.58/س هـ.إ,47,تاريخ تخطيط مدن,ARCH 414,Housing,إسكان- تخطيط,الإسكان في الدول النامية,هاني سراج الدين,لا يوجد,الاكاديمية الحديثة بالمعادي للهندسة والتكنولوجيا,المعادي,لا يوجد,لا يوجد,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
711.58/س هـ.إ,48,تاريخ تخطيط مدن,ARCH 414,Housing,إسكان- تخطيط,الإسكان في الدول النامية,هاني سراج الدين,لا يوجد,الاكاديمية الحديثة بالمعادي للهندسة والتكنولوجيا,المعادي,لا يوجد,لا يوجد,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
711/H.T.T,49,تاريخ تخطيط مدن,ARCH 420,Urban & Regional Planning,تخطيط - مدن/تخطيط المدن/تخطيط المدن اليابان هيروشيما-شي/هيروشيما-شي (اليابان)/اليابان هيروشيما-شي///,Town Planning In Hiroshima,Takashi Hiraoka,لا يوجد,Systematic Printing Medium Corporation,Hiroshima City,1990,ط.2,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
711/ط و .ب,50,تاريخ تخطيط مدن,ARCH 318/ARCH 215,Concepts of Urban Planning/History of Architecture II,تخطيط - مدن/تخطيط المدن - تاريخ/العمارة الإسلامية/العمارة- اسلام/العمارة والعمران/البحرين - عمارة/عمارة - تشكيل/العمارة - تاريخ/,البيان والتبيان في العمارة والعمران,طارق والى,لا يوجد,د.ن,"المحرق، البحرين/القاهرة",1993,ط.1,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
720.9/ S.H.E,51,تاريخ عمارة,ARCH 315,Modern & Contemporary Foundations of Art & Architects,عمارة - تاريخ/عمارة كلاسيكية/الهندسة المعمارية - دوائر معارف/العمارة - موسوعات/العمارة العالمية/العمارة على مستوى العالم,Encyclopedia of World Architecture,Henri Stierlin,لا يوجد,Macmillan Press,United States of America,1983,ط.1,333352122,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
720.9/ ح.م.م,52,تاريخ عمارة,ARCH 213,History of Architecture I,العمارة - تاريخ/العمارة اليونانية/الهلينية في مصر/الهندسة المعمارية,محاضرات في العمارة الهلينية,منى حجاج,لا يوجد,مني حجاج,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لغة عربية,الهندسة المعمارية والتصميم,ورقي
720.9/A.A.C,53,تاريخ عمارة,ARCH 215,History of Architecture II,"المتحف القبطي/القبطي، متحف",Coptic Museum,آمال محمد صفوت الألفي,لا يوجد,مطبعة هيئة الاثار المصرية,القاهرة,1984,ط 2,لا يوجد,لغة انجليزية/لغة عربية,الهندسة المعمارية والتصميم,ورقي
720.9/B.B.R,54,تاريخ عمارة,ARCH 215,History of Architecture II,الهندسة المعمارية/الفن/المباني/المباني والهياكل في البندقية/إنشاءات البندقية,Art & Architecture. Rome,Brigitte Hintzen- Bohlen,لا يوجد,Konemann,ألمانيا,2001,ط 1,3-8290-3107-6,لغة فرنسية,الهندسة المعمارية والتصميم,ورقي
720.9/B.J.E,55,تاريخ عمارة,ARCH 215,History of Architecture II,تاريخ العمارة الإنجليزية/عمارة انجليزية/تاريخ العمارة/تاريخ فن العمارة/العمارة في إنجلترا/تطور العمارة الإنجليزية/أنماط العمارة الإنجليزية/صور للعمارة الإنجليزية/أرشيف العمارة الإنجليزية,A Pictoral History of English Architecture,John Betjeman,لا يوجد,Johan Betjeman,Penguin,1972,ط1,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
720.9/B.P.F,56,تاريخ عمارة,ARCH 211,Visual Training,الفن/بوشار. فيليب/بوشار. فيليب. 1952-/المملكة العربية السعودية/المملكة العربية السعودية في الفن,From surrealism to orientalism . the influence of Arabia on the work on an artist,Philip Bouchard,لا يوجد,Immel,Immel,1985,ط1,9780951027608/ 0951027603,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
720.9/C.T.W,57,تاريخ عمارة,ARCH 215,History of Architecture II,العمارة العالمية/العمارة العالمية - تاريخ/العمارة العالمية - صور/العصور القديمة - عمارة - صور,World Architecture . An illustrated history from earlist times,Trewin Copplestone,Henry-Russell Hitchcock,Crescent Books. New York,New York,1981,ط.1,9780517351482/051735148X,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
720.9/F.B.H,58,تاريخ عمارة,ARCH 213,History of Architecture I,العمارة والمجتمع/بنيان/الكتب الإلكترونية/تاريخ/التنمية الحضرية/التنمية الحضرية/التحضر,A History of Architecture : part 1,Banister. Fletcher,Banister. F. Fletcher,Bradury- Agnew,London,لايوجد,ط5,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
720.9/F.B.H,59,تاريخ عمارة,ARCH 213,History of Architecture I,العمارة والمجتمع/بنيان/الكتب الإلكترونية/تاريخ/التنمية الحضرية/التنمية الحضرية/التحضر,A History of Architecture : part 1,Banister. Fletcher,Banister. F. Fletcher,Bradury- Agnew,London,لايوجد,ط5,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
720.9/F.B.H,60,تاريخ عمارة,ARCH 213,History of Architecture I,العمارة والمجتمع/بنيان/الكتب الإلكترونية/تاريخ/التنمية الحضرية/التنمية الحضرية/التحضر,A History of Architecture : part 2,Banister. Fletcher,Banister. F. Fletcher,Bradury- Agnew,London,لايوجد,ط5,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
720.9/F.B.H,61,تاريخ عمارة,ARCH 213,History of Architecture I,العمارة والمجتمع/بنيان/الكتب الإلكترونية/تاريخ/التنمية الحضرية/التنمية الحضرية/التحضر,A History of Architecture : part 2,Banister. Fletcher,Banister. F. Fletcher,Bradury- Agnew,London,لايوجد,ط5,لا يوجد,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
720.9/F.B.H,62,تاريخ عمارة,ARCH 215,History of Architecture II,الهندسة المعمارية/تاريخ الهندسة المعمارية/التاريخ,A History of Architecture on the comparative method,Banister Fletcher,لا يوجد,Charles Scribner's sons,New york,1961,ط.1,0 14 00-3824-8,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
720.9/F.M.B,63,تاريخ عمارة,ARCH 304,Theory of Architecture II,الهندسة المعمارية/تاريخ الهندسة المعمارية/التاريخ/عمارة - تاريخ,Buildings across Time,Michael W. Fazio, Marian Moffett / Lawrence Wodehouse,McGraw-Hill Higher Education,Boston,2003,ط.1,9781259913778/ 1259913775,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
720.9/G.M.L,64,تاريخ عمارة,ARCH 301,Architectural Design I,تطور الفلات في إيطاليا/فيلا هيبوليت الثانى/عمارة - تطور مبانى/عمارة فيلات,La Villa D‘Hippolyte II D‘Este A Tivoli,Leonardo B. Dal Maso,لا يوجد, Bonechi - Edizioni , Firenze,1978,ط.1978,لا يوجد,لغة فرنسية,الهندسة المعمارية والتصميم,ورقي
720.9/K.M.V,65,تاريخ عمارة,ARCH 215,History of Architecture II,"الهندسة المعمارية/الهندسة المعمارية إيطاليا البندقية/الهندسة المعمارية إيطاليا البندقية/الفن/الفن إيطاليا البندقية/الفن الإيطالي إيطاليا البندقية/الفن، الإيطالي/الفن، الإيطالي إيطاليا البندقية/المباني/إيطاليا البندقية/البندقية (إيطاليا) المباني والهياكل وما إلى ذلك/البندقية (إيطاليا) الإنشاءات",Art & Architecture : venise,Marion Kaminski,لا يوجد, Könemann,ألمانيا,2000,ط1,3-82902-66-5-x,لغة فرنسية,الهندسة المعمارية والتصميم,ورقي
720.9/K.P.S,66,تاريخ عمارة,ARCH 215,History of Architecture II,عمارة سولفانيا/عمارة - تاريخ /تاريخ سولفانيا/عمارة - بلدان,Slovenia,Friderich Ragette,لا يوجد,Caravan Books,American University Of Beirut,1993,ط.4,0-882-060-41-4,لغة إنجليزية,الهندسة المعمارية والتصميم,ورقي
